time,motor.m1,motor.m2,motor.m3,motor.m4,
42213,38382,41818,40758,42266,
42313,38835,41691,40085,42101,
42413,38543,43291,39977,40765,
42513,37938,41572,41168,42906,
42613,38822,40982,40490,43910,
42713,38252,41666,40764,42382,
42813,39231,41119,39557,42705,
42913,39006,42632,40792,41622,
43013,34386,43800,46022,40408,
43113,39103,43229,40527,41449,
43213,40467,38185,38359,45657,
43313,36679,41873,40485,40863,
43413,36537,41051,40305,42767,
43513,39582,44540,37810,40844,
43613,37864,43756,41144,42352,
43713,35375,41705,42899,43533,
43813,38828,42168,38282,42422,
43913,40307,43261,38089,41367,
44013,36244,43056,43270,42930,
44113,34817,41785,44477,43785,
44213,40258,41778,38662,43778,
44313,39296,44282,39448,41238,
44413,34854,42718,42886,41286,
44513,39056,38996,37676,43664,
44613,39801,42149,38347,41559,
44713,39010,41388,37212,41178,
44813,34123,41589,43689,41943,
44913,37253,41987,40275,41341,
45013,41565,44315,37635,40441,
45113,38588,42724,41826,43730,
45213,37211,41959,43955,44823,
45313,40795,41997,38693,44455,
45413,42756,42086,35224,42818,
45513,35696,41318,41030,42512,
45613,38367,39263,38551,44247,
45713,38190,42714,40486,41694,
45813,35231,42941,42515,40501,
45913,35079,40495,42285,42877,
46013,40153,41517,37145,41773,
46113,39209,42481,40013,43053,
46213,36801,43979,43965,41659,
46313,38914,40082,41014,45034,
46413,39747,39891,39713,43777,
46513,42092,41720,38694,42946,
46613,36895,43199,42619,40595,
46713,36308,41202,41650,42080,
46813,40083,39945,36745,42779,
46913,37634,41420,40356,42530,
47013,37069,42837,40977,43061,
47113,38177,45569,39043,43031,
47213,37534,45612,39790,42056,
47313,36791,42901,39179,43305,
47413,36004,42342,39434,41748,
47513,36398,43208,39496,41694,
47613,37261,42031,39533,41707,
47713,39157,41613,39743,43507,
47813,37847,43963,43123,42207,
47913,37958,43544,42514,41936,
48013,40314,41528,40296,43582,
48113,38017,42917,41759,42331,
48213,36786,44972,40332,39086,
48313,41067,40609,36655,43189,
48413,36782,42636,41896,40882,
48513,34669,45641,43881,38097,
48613,40933,42063,39151,40841,
48713,38287,43033,41717,39591,
48813,38068,42588,42236,39068,
48913,40085,41009,40375,40295,
49013,43062,37796,37260,42566,
49113,36986,43670,44858,38146,
49213,37835,42371,44539,40459,
49313,40086,40972,42370,42044,
49413,41555,41199,39833,41325,
49513,38489,43175,41529,37899,
49613,37801,42125,42049,38261,
49713,40907,42101,40421,39943,
49813,43945,40981,37987,40543,
49913,36277,42429,44973,37989,
50013,37895,40073,43375,41521,
50113,45382,36698,32118,42478,
50213,37835,40243,40695,39723,
50313,35237,41623,44787,41737,
50413,46273,30883,23861,45359,
50513,33645,39287,41809,41599,
50613,34586,42884,43692,42362,
50713,45728,39418,35576,46282,
50813,41744,42704,38792,41796,
50913,35884,42364,45942,41854,
51013,37617,42879,44523,42553,
51113,42859,41765,38617,42279,
51213,44547,39731,34837,42109,
51313,39736,39894,38822,41116,
51413,36707,42461,44945,39407,
51513,41553,38599,39999,41829,
51613,41716,40394,40056,38130,
51713,39194,43272,44114,35820,
51813,39062,39718,43728,39584,
51913,42684,40280,40420,40916,
52013,39827,42065,41557,39143,
52113,36074,39578,42782,40278,
52213,39747,39177,40383,41661,
52313,40245,40955,40885,41103,
52413,39449,42799,41239,39977,
52513,37162,44006,43954,39662,
52613,35172,42458,44332,40510,
52713,39093,42675,40901,40527,
52813,40913,41617,39247,42339,
52913,36321,43529,42315,38223,
53013,33165,40601,45587,38775,
53113,41423,41179,39257,39901,
53213,42810,38170,37688,41652,
53313,37732,40962,43784,38630,
53413,36622,40750,44364,39448,
