time,motor.m1,motor.m2,motor.m3,motor.m4,
61610,45087,47451,43375,39555,
61710,42509,44669,43691,41175,
61810,40908,43782,44022,40828,
61910,40645,45809,44371,39979,
62010,40299,44335,44239,40331,
62110,42193,44143,43353,40015,
62210,42497,45557,44691,40067,
62310,42101,45911,43729,39443,
62410,42810,45278,46280,39064,
62510,41318,43884,46102,41088,
62610,42856,44204,44874,40410,
62710,42195,44171,45323,41483,
62810,42604,46874,46152,39786,
62910,45025,45281,43763,41235,
63010,44348,47268,44118,38722,
63110,42900,44388,44906,40746,
63210,42128,43240,45852,40660,
63310,43882,44058,44346,41246,
63410,41817,45711,47769,39155,
63510,43135,45121,46279,40177,
63610,45264,47122,43810,37936,
63710,42584,46262,47254,38672,
63810,40950,45832,45764,38270,
63910,42388,46324,43678,37986,
64010,38332,44626,48840,38826,
64110,42985,44147,44799,38141,
64210,44842,43820,42228,37838,
64310,42935,44379,45619,38907,
64410,41037,43817,46365,41285,
64510,46531,42657,44805,40943,
64610,44859,43369,46635,40549,
64710,42592,43250,48770,41124,
64810,44037,45079,44669,40139,
64910,44094,42684,45740,38838,
65010,43665,40775,45425,41227,
65110,42657,44367,47505,39107,
65210,45321,43617,45005,41193,
65310,43695,44867,45517,40749,
65410,42795,45927,46451,38419,
65510,42801,46951,45061,36979,
65610,43552,44416,44622,39582,
65710,42458,44494,45842,40030,
65810,41982,45252,44350,41668,
65910,43127,43915,45149,41273,
66010,45095,45395,42857,40513,
66110,41392,44428,45832,41044,
66210,41421,45283,44233,40375,
66310,41109,45925,42891,41279,
66410,42811,45683,42643,41143,
66510,44184,47728,42728,39384,
66610,43129,45401,42239,40567,
66710,42506,44830,43554,41822,
66810,42356,44592,43922,41958,
66910,43293,47477,45537,40421,
67010,43297,46437,44555,41151,
67110,41086,44922,45150,42434,
67210,41115,45745,45035,42141,
67310,39391,46259,46041,40473,
67410,41135,45233,44025,40699,
67510,41638,44912,43820,41250,
67610,41070,45590,44830,41582,
67710,42603,45879,44167,41547,
67810,43829,45119,42897,42751,
67910,42600,45568,44390,41558,
68010,43995,45467,42399,40455,
68110,41388,45338,44816,40590,
68210,44826,45666,40710,40718,
68310,43557,46077,43233,39581,
68410,41555,45137,47319,41605,
68510,38998,46962,46198,42830,
68610,39966,45920,45812,42658,
68710,40685,45491,42099,42113,
68810,41751,46551,43197,39489,
68910,42345,46857,40581,42873,
69010,43476,45314,41658,44304,
69110,39662,48324,46328,40330,
69210,42977,43975,42827,42045,
69310,43447,44639,42041,41885,
69410,42166,45544,43854,40952,
69510,44231,45467,43247,40259,
69610,43321,45725,44539,39947,
69710,42124,46082,43950,41320,
69810,43064,45714,45026,42008,
69910,44194,47448,42580,41182,
70010,40397,47099,43089,42087,
70110,35913,46215,46237,44615,
70210,44365,46787,39799,41465,
70310,41379,48807,41211,41307,
70410,37525,45419,44393,45983,
70510,37493,46557,45523,45519,
70610,45404,49024,37752,41408,
70710,39626,47898,43124,41992,
70810,37759,46419,44805,44013,
70910,43296,47138,38608,42330,
71010,40301,46441,41897,41761,
71110,39924,46648,43346,42086,
71210,42128,49208,40806,41886,
71310,42995,49153,40723,41821,
71410,44626,48018,37956,45744,
71510,38504,52782,44722,44040,
71610,37991,48591,44265,45849,
71710,43519,51315,37625,46129,
71810,41574,50004,42854,44268,
71910,36724,48196,44478,45226,
72010,43842,50592,36450,41776,
72110,44253,48951,36255,43157,
72210,38003,47181,43287,44793,
72310,41382,50694,40576,42096,
72410,43132,50534,37554,41476,
72510,41937,48117,40243,44847,
72610,41873,48353,40187,44547,
72710,42077,47823,40601,44295,
72810,40811,48681,41971,43409,
72910,40772,50040,41968,43420,
73010,43983,51989,36925,41091,
73110,39346,48040,42388,42590,
73210,39982,46914,41922,41442,
73310,40701,45405,41411,44359,
73410,40569,46399,42085,44167,
73510,44231,46919,42233,41553,
73610,44508,45290,43690,43856,
73710,37926,45282,49400,42708,
73810,43838,46858,44156,41972,
73910,45883,46055,41477,42397,
74010,43097,46173,42513,42325,
74110,43133,46179,40677,42231,
74210,41705,45975,41209,41731,
74310,39395,45803,45759,41571,
74410,40092,47180,42748,42300,
74510,46649,46903,38097,41767,
74610,43692,43950,43516,43494,
74710,38034,44908,48614,44180,
74810,42869,47839,43601,44435,
