time,motor.m1,motor.m2,motor.m3,motor.m4
109794,45963,36407,49937,43549
109894,64833,42885,27057,34537
109994,37085,56151,65535,39963
110094,54158,50444,43590,47636
110194,39559,53025,49639,42077
110294,36678,59610,54876,39856
110394,51530,57736,49532,51022
110494,42629,52925,49569,45597
110594,44520,45384,42216,43876
110694,41185,42327,38789,37239
110794,39112,34346,39512,29502
110894,43693,38353,40617,29885
110994,52808,46486,50386,29048
111094,47509,44161,55349,34993
111194,52239,42181,50545,38975
111294,55098,47322,49102,37138
111394,46954,45522,56094,37686
111494,55534,48214,50902,39622
111594,48310,43296,49544,36342
111694,48646,43332,47504,39290
111794,45115,37529,39409,31975
111894,49048,41656,38850,33946
111994,38649,44703,53821,38543
112094,48264,42144,34988,32452
112194,36475,44749,50397,39691
112294,53729,49061,50491,38811
112394,46069,50271,60155,33457
112494,57974,48454,57822,42934
112594,43063,47751,45635,40947
112694,48034,55114,47822,42942
112794,46312,53016,49084,44264
112894,40488,43836,42460,40876
112994,45716,45750,43140,41162
113094,43691,45451,39107,34379
113194,36521,46101,45859,34775
113294,44784,43220,44454,44118
113394,41315,45155,44739,37583
113494,42075,44835,43239,38303
113594,44677,42307,45203,42329
113694,42794,43150,44550,40254
113794,48206,54430,52638,43054
113894,52739,55183,54755,48487
113994,43364,48582,48292,40318
114094,43506,48958,46516,39672
114194,43284,44672,45794,41134
114294,44010,47022,44950,38850
114394,41734,45544,45088,37518
114494,39048,42106,40756,33878
114594,45494,48106,45248,38012
114694,44662,39786,40254,39378
114794,48715,54719,42859,32271
114894,38542,46342,52310,39958
114994,48879,44809,42385,40523
115094,44230,54418,48052,39708
115194,38039,54541,43235,44817
115294,28358,53206,32150,41382
115394,32470,64558,41922,52434
115494,38609,64177,41103,58091
115594,37466,60440,43162,58392
115694,33674,61958,46432,55724
115794,46887,54591,42427,51587
115894,34504,45584,38114,47350
115994,32698,53160,44058,48096
116094,36463,39357,37091,49877
116194,44961,58989,46261,47213
116294,42266,52140,55434,63984
116394,52701,57989,59511,52779
116494,42472,37990,52044,36842
116594,44205,45723,48199,36813
116694,39109,38881,44257,39333
116794,35249,46381,41401,24529
116894,44329,50165,47323,38831
116994,50866,58836,55282,43108
117094,48287,54033,57043,49981
117194,46137,55237,52385,43773
117294,42076,50406,46728,40558
117394,41858,46448,43090,42220
117494,41502,46070,42556,40936
117594,41369,49531,43993,36619
117694,43963,45591,41463,42979
117794,38933,45857,43833,35757
117894,29511,42319,43215,29135
117994,36247,46259,44959,35807
118094,42767,39457,38701,42703
118194,43090,51912,48596,43086
118294,38525,48313,43953,38737
118394,49081,52307,41327,53021
118494,36896,51230,42500,49714
118594,40835,49571,37865,50557
118694,37524,46078,34038,45776
118794,42029,58241,45471,48531
118894,43537,53979,45683,53997
118994,42567,56989,46515,50017
119094,36348,46730,40304,47050
119194,33038,43514,37774,41494
119294,42944,53258,47130,47692
119394,44514,47578,41074,47210
119494,38193,46937,43069,51009
119594,33929,56917,41977,36873
119694,50746,46800,34868,53998
119794,30788,47676,48826,45854
119894,48033,47287,38697,39443
119994,38780,34310,41714,37516
120094,47724,42096,42376,38576
120194,47279,49019,49887,41007
120294,46541,49245,50667,43983
120394,39917,49969,39089,40553
120494,42449,59265,37305,53913
120594,39021,56919,45137,54907
120694,44024,56262,45544,47310
120794,38295,54701,58477,39975
120894,41906,45244,46718,40604
120994,41341,47775,42841,51719
121094,38961,59615,43451,49793
121194,31237,48343,35933,43887
121294,35600,39668,43062,37874
121394,42751,42689,43135,33733
121494,45144,44066,57670,40916
121594,50663,42283,59317,35101
121694,45730,43274,57380,26092
121794,48769,41029,52659,27767
121894,51880,45824,54142,34222
121994,53977,51343,55207,35469
122094,50444,60354,55006,47196
122194,47577,57397,47503,46231
122294,42795,50321,41793,38455
122394,43567,50947,54603,42319
122494,48878,46538,48910,39642
122594,44055,44851,50867,25759
122694,51354,45210,51042,29042
122794,60273,51107,57377,39427
122894,58892,55102,57898,37412
122994,59028,50826,50242,38648
123094,53343,50705,51213,37739
123194,54061,43137,42011,36515
123294,51370,48742,49482,37542
123394,40223,33545,31035,28253
