time,stabilizer.thrust,
141321,41165.0,
141421,30551.0,
141521,22917.0,
141621,51056.0,
141721,22391.0,
141821,47674.0,
141921,17010.0,
142021,42870.0,
142121,42648.0,
142221,15587.0,
142321,8537.0,
142421,19280.0,
142521,38822.0,
142621,5444.0,
142721,5432.0,
142821,14131.0,
142921,13864.0,
143021,48251.0,
143121,6350.0,
143221,4703.0,
143321,23195.0,
143421,30490.0,
143521,1549.0,
143621,47997.0,
143721,15641.0,
143821,54252.0,
143921,9396.0,
144021,39844.0,
144121,55575.0,
144221,30497.0,
144321,12207.0,
144421,57151.0,
144521,21212.0,
144621,45660.0,
144721,8378.0,
144821,30016.0,
144921,23361.0,
145021,46186.0,
145121,17118.0,
145221,40611.0,
145321,55560.0,
145421,55341.0,
145521,35120.0,
145621,29241.0,
145721,14779.0,
145821,65495.0,
145921,60155.0,
146021,52086.0,
146121,21203.0,
146221,10324.0,
146321,2782.0,
146421,6324.0,
146521,9174.0,
146621,40146.0,
146721,60671.0,
146821,17475.0,
146921,53436.0,
147021,53543.0,
147121,37932.0,
147221,42508.0,
147321,1709.0,
147421,57532.0,
147521,8490.0,
147621,18082.0,
147721,21176.0,
147821,34876.0,
147921,63598.0,
148021,55768.0,
148121,899.0,
148221,51857.0,
148321,16117.0,
148421,62100.0,
148521,22564.0,
148621,4712.0,
148721,54479.0,
148821,53796.0,
148921,4908.0,
149021,31550.0,
149121,13038.0,
149221,40955.0,
149321,54884.0,
149421,62172.0,
149521,56379.0,
149621,50659.0,
149721,23781.0,
149821,38185.0,
149921,26345.0,
150021,64314.0,
150121,40224.0,
150221,14140.0,
150321,47832.0,
150421,2414.0,
150521,4230.0,
150621,62362.0,
150721,63118.0,
150821,17612.0,
150921,39061.0,
151021,30205.0,
151121,29316.0,
151221,40930.0,
151321,64888.0,
151421,29639.0,
151521,2163.0,
151621,10953.0,
151721,59392.0,
151821,30768.0,
151921,37680.0,
152021,43351.0,
152121,64809.0,
152221,6385.0,
152321,25623.0,
152421,4213.0,
152521,9850.0,
152621,22614.0,
152721,7084.0,
152821,40532.0,
152921,53446.0,
153021,25088.0,
153121,47126.0,
153221,48649.0,
153321,5850.0,
153421,21740.0,
153521,8164.0,
153621,20177.0,
153721,16567.0,
153821,56623.0,
153921,14123.0,
154021,34877.0,
154121,41282.0,
154221,3679.0,
154321,54105.0,
154421,14870.0,
154521,15368.0,
154621,321.0,
154721,35115.0,
154821,18663.0,
154921,10614.0,
155021,63184.0,
155121,9179.0,
155221,53824.0,
155321,41792.0,
155421,54592.0,
155521,39301.0,
155621,2292.0,
155721,25433.0,
155821,32653.0,
155921,24390.0,
156021,20427.0,
156121,4639.0,
156221,52909.0,
156321,4482.0,
156421,62784.0,
156521,36088.0,
156621,25255.0,
156721,60584.0,
156821,49067.0,
156921,2266.0,
157021,23920.0,
157121,17331.0,
157221,45454.0,
157321,7002.0,
157421,27379.0,
157521,45553.0,
157621,28079.0,
157721,21403.0,
157821,56074.0,
157921,41097.0,
158021,59392.0,
158121,13604.0,
158221,35103.0,
158321,29704.0,
158421,33768.0,
158521,6959.0,
158621,23476.0,
158721,278.0,
158821,22482.0,
158921,42148.0,
159021,15423.0,
159121,2313.0,
159221,12845.0,
159321,43776.0,
159421,63397.0,
159521,20322.0,
159621,42064.0,
159721,30205.0,
159821,38439.0,
159921,55324.0,
160021,50101.0,
160121,8636.0,
160221,32584.0,
160321,4048.0,
160421,10548.0,
160521,5843.0,
160621,2853.0,
160721,44200.0,
160821,47133.0,
160921,23623.0,
161021,6527.0,
161121,30368.0,
161221,52062.0,
161321,10979.0,
161421,11107.0,
161521,32701.0,
161621,27415.0,
161721,10823.0,
161821,47654.0,
161921,23477.0,
162021,31468.0,
162121,18533.0,
162221,61235.0,
162321,38198.0,
162421,46978.0,
162521,52556.0,
162621,50860.0,
162721,60674.0,
162821,17817.0,
162921,45395.0,
163021,48663.0,
163121,52720.0,
163221,58379.0,
163321,62560.0,
163421,131.0,
163521,52165.0,
163621,1522.0,
163721,2590.0,
163821,20493.0,
163921,2275.0,
164021,63795.0,
164121,62911.0,
164221,43405.0,
164321,43508.0,
164421,51216.0,
164521,23994.0,
164621,36357.0,
164721,16981.0,
164821,23802.0,
164921,17716.0,
165021,12962.0,
165121,37593.0,
165221,35808.0,
165321,16976.0,
165421,17230.0,
165521,39594.0,
165621,8937.0,
165721,40281.0,
165821,17128.0,
165921,15531.0,
166021,42874.0,
166121,33059.0,
166221,44038.0,
166321,12893.0,
166421,23848.0,
166521,64061.0,
166621,23198.0,
166721,4907.0,
166821,47271.0,
166921,64704.0,
167021,41188.0,
167121,60582.0,
167221,21167.0,
167321,49514.0,
167421,53632.0,
167521,61027.0,
167621,5511.0,
167721,18531.0,
167821,37661.0,
167921,57726.0,
168021,28255.0,
168121,9254.0,
168221,40495.0,
168321,47841.0,
168421,40888.0,
168521,59628.0,
168621,34001.0,
168721,1051.0,
168821,18035.0,
168921,17958.0,
169021,42396.0,
169121,59668.0,
169221,61484.0,
169321,14872.0,
169421,40580.0,
169521,11265.0,
169621,1243.0,
169721,29913.0,
169821,15952.0,
169921,11834.0,
170021,2749.0,
170121,22055.0,
170221,31717.0,
170321,11013.0,
170421,54614.0,
170521,28683.0,
170621,17471.0,
170721,30681.0,
170821,22040.0,
170921,65001.0,
171021,39549.0,
171121,29325.0,
171221,28987.0,
171321,37972.0,
171421,21690.0,
171521,42629.0,
171621,60081.0,
171721,55446.0,
171821,998.0,
171921,38260.0,
172021,61805.0,
172121,7345.0,
172221,48387.0,
172321,6142.0,
172421,35740.0,
172521,41637.0,
172621,34851.0,
172721,47860.0,
172821,23809.0,
172921,56173.0,
173021,9568.0,
173121,35855.0,
173221,15873.0,
173321,15532.0,
173421,52504.0,
173521,60092.0,
173621,31302.0,
173721,58329.0,
173821,20290.0,
173921,43798.0,
174021,62007.0,
174121,52926.0,
174221,2117.0,
174321,45917.0,
174421,62891.0,
174521,53602.0,
174621,19933.0,
174721,38677.0,
174821,64854.0,
174921,38685.0,
175021,64378.0,
175121,56791.0,
175221,30314.0,
175321,44050.0,
175421,43425.0,
175521,44079.0,
175621,36745.0,
175721,30759.0,
175821,52761.0,
175921,18828.0,
176021,6010.0,
176121,9653.0,
176221,18546.0,
176321,18847.0,
176421,21648.0,
176521,16737.0,
176621,63435.0,
176721,64857.0,
176821,39108.0,
176921,41194.0,
177021,42238.0,
177121,42456.0,
177221,35621.0,
177321,40652.0,
177421,58527.0,
177521,21022.0,
177621,13854.0,
177721,7779.0,
177821,20958.0,
177921,35660.0,
178021,19739.0,
178121,58205.0,
178221,59733.0,
178321,52191.0,
178421,38179.0,
178521,1463.0,
178621,2217.0,
178721,36238.0,
178821,45752.0,
178921,10356.0,
179021,57358.0,
179121,18436.0,
179221,48841.0,
179321,34890.0,
179421,28280.0,
179521,8703.0,
179621,44839.0,
179721,63344.0,
179821,7856.0,
179921,27199.0,
180021,2523.0,
180121,11630.0,
180221,17376.0,
180321,29256.0,
180421,26892.0,
180521,31278.0,
180621,32056.0,
180721,62850.0,
180821,49492.0,
180921,35634.0,
181021,43013.0,
181121,22319.0,
181221,29907.0,
181321,43870.0,
181421,51715.0,
181521,7899.0,
181621,53256.0,
181721,55816.0,
181821,12341.0,
181921,31768.0,
182021,46063.0,
182121,2343.0,
182221,7308.0,
182321,51604.0,
182421,55072.0,
182521,26.0,
182621,56631.0,
182721,34392.0,
182821,41346.0,
182921,57150.0,
183021,37608.0,
183121,19672.0,
183221,14832.0,
183321,25097.0,
183421,63505.0,
183521,35333.0,
183621,14440.0,
183721,3825.0,
183821,28698.0,
183921,55458.0,
184021,6004.0,
184121,57308.0,
184221,27393.0,
184321,18155.0,
184421,47625.0,
184521,43475.0,
184621,12252.0,
184721,28370.0,
184821,12540.0,
184921,25483.0,
185021,17136.0,
185121,46653.0,
185221,45262.0,
185321,53024.0,
185421,18299.0,
185521,28982.0,
185621,33804.0,
185721,59642.0,
185821,4198.0,
185921,35396.0,
186021,664.0,
186121,32062.0,
186221,41633.0,
186321,17737.0,
186421,5184.0,
186521,35814.0,
186621,45411.0,
186721,53456.0,
186821,5830.0,
186921,40946.0,
187021,57640.0,
187121,38540.0,
187221,52785.0,
187321,3633.0,
187421,15514.0,
187521,6230.0,
187621,47909.0,
187721,33200.0,
187821,42650.0,
187921,51958.0,
188021,42884.0,
188121,24551.0,
188221,57191.0,
188321,59608.0,
188421,59646.0,
188521,28998.0,
188621,44032.0,
188721,54285.0,
188821,47991.0,
188921,54069.0,
189021,4169.0,
189121,62474.0,
189221,26816.0,
189321,40712.0,
189421,29396.0,
189521,60812.0,
189621,2557.0,
189721,37949.0,
189821,22931.0,
189921,45677.0,
190021,27445.0,
190121,23770.0,
190221,4142.0,
190321,26666.0,
190421,34427.0,
190521,38677.0,
190621,13989.0,
190721,43080.0,
190821,18948.0,
190921,406.0,
191021,61582.0,
191121,25907.0,
191221,16434.0,
191321,31606.0,
191421,56874.0,
191521,9324.0,
191621,23707.0,
191721,20486.0,
191821,6964.0,
191921,6062.0,
192021,14210.0,
192121,18048.0,
192221,47141.0,
192321,28279.0,
192421,40673.0,
192521,12528.0,
192621,46614.0,
192721,7918.0,
192821,20925.0,
192921,14748.0,
193021,53604.0,
193121,21248.0,
193221,51498.0,
193321,46795.0,
193421,11140.0,
193521,39956.0,
193621,10523.0,
193721,28988.0,
