time,motor.m1,motor.m2,motor.m3,motor.m4,
67222,36283,43111,41629,45293,
67322,38860,38782,39856,48466,
67422,37462,38870,40520,48004,
67522,35765,41381,41187,44335,
67622,37912,41450,39512,43474,
67722,36128,40474,40620,44114,
67822,35859,40653,41591,44761,
67922,37929,41303,40413,44799,
68022,36813,39689,42119,46811,
68122,34893,42025,43383,43575,
68222,36874,40590,40852,44676,
68322,37897,39113,40731,46715,
68422,35733,42445,43661,44865,
68522,38102,42060,41234,44640,
68622,36683,41755,42107,45155,
68722,35843,39749,41839,46025,
68822,37763,41487,40359,44391,
68922,36748,41950,42652,44394,
69022,37874,41422,42312,45784,
69122,39143,41685,41401,44791,
69222,38261,40369,41737,45593,
69322,38662,39792,41228,45882,
69422,38906,39730,39794,45166,
69522,37557,42997,41293,42321,
69622,37955,41263,41347,44255,
69722,37678,40038,41146,45786,
69822,38424,40728,41526,43986,
69922,39120,42466,42010,41304,
70022,37424,41256,43080,42936,
70122,37441,39153,41943,44431,
70222,38141,42309,40649,41737,
70322,38532,40594,40598,44428,
70422,36983,39305,40713,45019,
70522,37124,41046,40992,42510,
70622,38234,41666,40200,42320,
70722,37026,39612,41238,45100,
70822,38658,40846,41478,43414,
70922,39280,41184,41980,42936,
71022,39784,41346,40174,41896,
71122,39661,39665,41321,42697,
71222,39743,39259,42711,42387,
71322,40886,39944,41860,42326,
71422,40515,41073,42293,40871,
71522,39344,39638,43176,43286,
71622,39878,39270,42598,44186,
71722,40356,40278,43172,43606,
71822,37512,40106,45604,43870,
71922,41223,40753,41777,42851,
72022,38689,39875,43549,42563,
72122,39273,39947,41265,42275,
72222,39546,42408,40128,39890,
72322,37087,38863,43405,44421,
72422,38918,37376,41146,44276,
72522,40960,41384,39164,40252,
72622,40143,42209,41095,41057,
72722,38361,40693,44215,45667,
72822,38502,40618,44550,45006,
72922,40684,41352,41532,42872,
73022,40556,40024,41294,43766,
73122,38137,40267,42143,42861,
73222,38129,40939,41177,42055,
73322,37706,39918,40326,43674,
73422,35973,40365,41185,42641,
73522,37833,41197,40129,42425,
73622,36611,39845,41949,44719,
73722,36615,40533,42197,45343,
73822,38080,42754,41472,44658,
73922,36849,40039,41327,46257,
74022,37247,41039,41209,46017,
74122,36584,41858,40662,44416,
74222,37278,42346,40178,43926,
74322,37163,41745,40577,45279,
74422,38578,41694,39230,45270,
74522,36119,42967,40985,43633,
74622,36671,42569,40233,44947,
74722,37291,41287,39941,46769,
74822,37287,39825,38889,47219,
74922,35368,42124,40046,45114,
75022,36519,42589,39031,45453,
75122,37563,41025,36715,46161,
75222,33145,41299,41041,45847,
75322,35971,42307,38685,44809,
75422,36794,41114,38732,45884,
75522,34458,41894,40952,46052,
75622,35556,40932,39726,46510,
75722,38179,43209,38009,44515,
75822,36158,43134,39606,44098,
75922,35328,41076,41660,46440,
76022,36330,43106,40408,44376,
76122,35669,42627,40179,44093,
76222,36943,40571,38393,45461,
76322,35706,40616,39624,45370,
76422,35397,42089,40641,44641,
76522,36841,43113,39973,44029,
76622,38577,41047,37611,45125,
76722,37698,39424,39594,47372,
76822,35630,41922,41212,45112,
76922,36893,42719,39733,44187,
77022,38386,41890,38656,44740,
77122,38021,41535,39233,44971,
77222,37916,42054,39372,44798,
77322,37522,43248,40212,44434,
77422,35539,41099,41287,46087,
77522,36712,40812,39120,45384,
77622,36419,42219,39083,43323,
77722,36516,40504,39090,46082,
77822,38334,42224,37838,44836,
77922,37148,43504,39488,44448,
78022,36900,41502,40418,46200,
78122,37410,41218,40776,46628,
78222,37827,41519,40311,45147,
78322,38294,42138,39686,44842,
78422,38200,41710,39604,45406,
78522,36800,40262,39788,45690,
78622,36133,40395,39905,44863,
78722,36699,42123,39391,44027,
78822,37327,42275,39797,43885,
78922,37989,42157,38447,43447,
79022,37480,42196,39280,43164,
79122,35262,42090,41614,43638,
79222,37988,41230,40222,45616,
79322,37960,42126,38410,43816,
79422,35320,41590,39746,43588,
79522,38283,41313,37625,44859,
79622,35204,41556,39866,44586,
79722,37567,43639,37901,44537,
79822,38287,42885,36823,46201,
79922,35650,42560,40438,46444,
80022,33926,41202,39596,45636,
80122,36935,42563,38027,42123,
80222,37885,40655,38659,44061,
80322,36765,41791,38333,45679,
80422,37315,42359,41223,43115,
80522,37913,38491,39803,45525,
80622,37546,42914,39808,43572,
80722,37927,44599,40579,40903,
80822,37154,42296,39056,44846,
80922,37796,41960,38338,45950,
81022,37774,43180,39412,43078,
81122,36638,41706,38088,45660,
81222,34498,40598,40472,46988,
81322,35995,43389,39493,44839,
81422,39143,44299,37021,44649,
81522,36434,40474,39550,46170,
81622,37373,42649,38357,43217,
81722,36869,40311,40353,45595,
81822,35743,42349,41981,44591,
81922,39331,41711,38105,45673,
82022,36260,40618,42086,46140,
82122,36023,40611,40879,45143,
82222,37816,41830,38368,44190,
82322,36636,42896,39984,42964,
82422,36931,42853,39359,43221,
82522,38296,44416,33652,45024,
82622,37766,41512,39436,44086,
82722,38098,40772,39370,43856,
82822,36244,41772,40654,45354,
82922,37489,42481,40321,44441,
83022,37645,40313,41413,45609,
83122,37757,41907,39965,45823,
83222,37170,44348,39776,43654,
83322,37160,42670,40270,45080,
83422,37166,40848,40976,45390,
83522,37251,41179,38695,44871,
83622,37317,41605,38269,44689,
83722,37417,40211,39485,44067,
83822,37834,41928,38518,43848,
83922,37490,42192,39778,44832,
84022,36420,43278,40250,46156,
84122,38657,40755,40637,45807,
84222,35664,39076,43356,47292,
84322,38282,42772,41902,45168,
84422,39106,41622,40488,45160,
84522,38990,40336,41676,45586,
84622,36660,41844,42022,43258,
84722,37583,39887,42265,41985,
84822,40628,39658,40198,41732,
84922,40029,40705,41793,41485,
85022,38714,39864,42964,42334,
85122,38790,40712,41976,41018,
